table_name,column_name,data_type,is_nullable,ordinal_position
AnafEFactura,id,STRING,NO,1
AnafEFactura,factura_id,STRING,NO,2
AnafEFactura,anaf_upload_id,STRING,YES,3
AnafEFactura,xml_content,STRING,YES,4
AnafEFactura,anaf_status,STRING,NO,5
AnafEFactura,anaf_response,STRING,YES,6
AnafEFactura,error_message,STRING,YES,7
AnafEFactura,error_code,STRING,YES,8
AnafEFactura,data_upload,TIMESTAMP,YES,9
AnafEFactura,data_validare,TIMESTAMP,YES,10
AnafEFactura,retry_count,INT64,YES,11
AnafEFactura,max_retries,INT64,YES,12
AnafEFactura,data_creare,TIMESTAMP,YES,13
AnafEFactura,data_actualizare,TIMESTAMP,YES,14
AnafEFactura_v2,id,STRING,NO,1
AnafEFactura_v2,factura_id,STRING,NO,2
AnafEFactura_v2,anaf_upload_id,STRING,YES,3
AnafEFactura_v2,xml_content,STRING,YES,4
AnafEFactura_v2,anaf_status,STRING,NO,5
AnafEFactura_v2,anaf_response,STRING,YES,6
AnafEFactura_v2,error_message,STRING,YES,7
AnafEFactura_v2,error_code,STRING,YES,8
AnafEFactura_v2,data_upload,TIMESTAMP,YES,9
AnafEFactura_v2,data_validare,TIMESTAMP,YES,10
AnafEFactura_v2,retry_count,INT64,YES,11
AnafEFactura_v2,max_retries,INT64,YES,12
AnafEFactura_v2,data_creare,TIMESTAMP,YES,13
AnafEFactura_v2,data_actualizare,TIMESTAMP,YES,14
AnafErrorLog,id,STRING,YES,1
AnafErrorLog,category,STRING,YES,2
AnafErrorLog,severity,STRING,YES,3
AnafErrorLog,message,STRING,YES,4
AnafErrorLog,details,STRING,YES,5
AnafErrorLog,factura_id,STRING,YES,6
AnafErrorLog,user_id,STRING,YES,7
AnafErrorLog,timestamp,TIMESTAMP,YES,8
AnafErrorLog,should_retry,BOOL,YES,9
AnafErrorLog,max_retries,INT64,YES,10
AnafErrorLog,requires_manual_intervention,BOOL,YES,11
AnafErrorLog,stack_trace,STRING,YES,12
AnafErrorLog,anaf_response,STRING,YES,13
AnafErrorLog,data_creare,TIMESTAMP,YES,14
AnafErrorLog_v2,id,STRING,YES,1
AnafErrorLog_v2,category,STRING,YES,2
AnafErrorLog_v2,severity,STRING,YES,3
AnafErrorLog_v2,message,STRING,YES,4
AnafErrorLog_v2,details,STRING,YES,5
AnafErrorLog_v2,factura_id,STRING,YES,6
AnafErrorLog_v2,user_id,STRING,YES,7
AnafErrorLog_v2,timestamp,TIMESTAMP,YES,8
AnafErrorLog_v2,should_retry,BOOL,YES,9
AnafErrorLog_v2,max_retries,INT64,YES,10
AnafErrorLog_v2,requires_manual_intervention,BOOL,YES,11
AnafErrorLog_v2,stack_trace,STRING,YES,12
AnafErrorLog_v2,anaf_response,STRING,YES,13
AnafErrorLog_v2,data_creare,TIMESTAMP,YES,14
AnafNotificationLog,id,STRING,YES,1
AnafNotificationLog,type,STRING,YES,2
AnafNotificationLog,severity,STRING,YES,3
AnafNotificationLog,title,STRING,YES,4
AnafNotificationLog,message,STRING,YES,5
AnafNotificationLog,recipients,STRING,YES,6
AnafNotificationLog,success,BOOL,YES,7
AnafNotificationLog,data,STRING,YES,8
AnafNotificationLog,timestamp,TIMESTAMP,YES,9
AnafNotificationLog,data_creare,TIMESTAMP,YES,10
AnafNotificationLog_v2,id,STRING,YES,1
AnafNotificationLog_v2,type,STRING,YES,2
AnafNotificationLog_v2,severity,STRING,YES,3
AnafNotificationLog_v2,title,STRING,YES,4
AnafNotificationLog_v2,message,STRING,YES,5
AnafNotificationLog_v2,recipients,STRING,YES,6
AnafNotificationLog_v2,success,BOOL,YES,7
AnafNotificationLog_v2,data,STRING,YES,8
AnafNotificationLog_v2,timestamp,TIMESTAMP,YES,9
AnafNotificationLog_v2,data_creare,TIMESTAMP,YES,10
AnafTokens,id,STRING,NO,1
AnafTokens,client_id,STRING,NO,2
AnafTokens,access_token,STRING,NO,3
AnafTokens,refresh_token,STRING,NO,4
AnafTokens,expires_at,TIMESTAMP,NO,5
AnafTokens,certificate_serial,STRING,YES,6
AnafTokens,scope,STRING,YES,7
AnafTokens,is_active,BOOL,YES,8
AnafTokens,data_creare,TIMESTAMP,YES,9
AnafTokens,data_actualizare,TIMESTAMP,YES,10
AnafTokens_v2,id,STRING,NO,1
AnafTokens_v2,client_id,STRING,NO,2
AnafTokens_v2,access_token,STRING,NO,3
AnafTokens_v2,refresh_token,STRING,NO,4
AnafTokens_v2,expires_at,TIMESTAMP,NO,5
AnafTokens_v2,certificate_serial,STRING,YES,6
AnafTokens_v2,scope,STRING,YES,7
AnafTokens_v2,is_active,BOOL,YES,8
AnafTokens_v2,data_creare,TIMESTAMP,YES,9
AnafTokens_v2,data_actualizare,TIMESTAMP,YES,10
AnexeContract,ID_Anexa,STRING,NO,1
AnexeContract,contract_id,STRING,NO,2
AnexeContract,proiect_id,STRING,NO,3
AnexeContract,anexa_numar,INT64,NO,4
AnexeContract,etapa_index,INT64,NO,5
AnexeContract,denumire,STRING,NO,6
AnexeContract,valoare,NUMERIC,NO,7
AnexeContract,moneda,STRING,NO,8
